service_id,first_date,last_date,active_days
B.288,2010-09-11,2010-11-27,12
S.288,2010-09-11,2010-11-27,12
9.294,2010-09-12,2010-09-19,2
k.294,2010-09-12,2010-10-31,8
C.294,2010-09-12,2010-12-05,13
U.294,2010-09-12,2010-12-05,13
D.288,2010-09-13,2010-09-24,10
D.294,2010-09-13,2010-09-24,10
7.294,2010-09-13,2010-12-07,61
A.294,2010-09-13,2010-12-07,61
e.294,2010-09-13,2010-12-07,51
E.294,2010-09-13,2010-12-07,43
p.294,2010-09-13,2010-12-07,49
W.294,2010-09-13,2010-12-07,61
P.294,2010-09-17,2010-12-03,12
J.288,2010-09-18,2010-09-25,2
J.294,2010-09-18,2010-09-25,2
K.294,2010-09-18,2010-10-30,7
8.294,2010-09-18,2010-12-04,12
B.294,2010-09-18,2010-12-04,12
S.294,2010-09-18,2010-12-04,12
9.295,2010-09-19,2010-09-19,1
d.288,2010-09-19,2010-09-19,1
d.294,2010-09-19,2010-09-19,1
d.295,2010-09-19,2010-09-19,1
t.288,2010-09-19,2010-09-26,2
t.294,2010-09-19,2010-09-26,2
t.295,2010-09-19,2010-09-26,2
k.295,2010-09-19,2010-10-31,7
C.295,2010-09-19,2010-12-12,12
U.295,2010-09-19,2010-12-12,13
D.295,2010-09-20,2010-09-24,5
7.295,2010-09-20,2010-12-13,60
A.295,2010-09-20,2010-12-13,59
e.295,2010-09-20,2010-12-13,53
E.295,2010-09-20,2010-12-13,42
p.295,2010-09-20,2010-12-13,48
W.295,2010-09-20,2010-12-13,60
P.295,2010-09-24,2010-12-10,11
J.295,2010-09-25,2010-09-25,1
K.295,2010-09-25,2010-10-30,6
8.295,2010-09-25,2010-12-11,12
B.295,2010-09-25,2010-12-11,11
S.295,2010-09-25,2010-12-11,12
p.297,2010-10-13,2010-12-02,29
7.297,2010-10-13,2010-12-03,37
A.297,2010-10-13,2010-12-03,36
e.297,2010-10-13,2010-12-03,31
W.297,2010-10-13,2010-12-03,37
E.297,2010-10-14,2010-12-03,24
P.297,2010-10-15,2010-12-03,7
K.297,2010-10-16,2010-10-30,3
8.297,2010-10-16,2010-12-04,8
B.297,2010-10-16,2010-12-04,7
S.297,2010-10-16,2010-12-04,8
k.297,2010-10-17,2010-10-31,3
C.297,2010-10-17,2010-11-28,6
U.297,2010-10-17,2010-11-28,7
p.298,2010-10-21,2010-12-02,24
7.298,2010-10-21,2010-12-03,31
A.298,2010-10-21,2010-12-03,30
e.298,2010-10-21,2010-12-03,25
E.298,2010-10-21,2010-12-03,20
W.298,2010-10-21,2010-12-03,31
a.295,2010-10-22,2010-10-22,1
a.297,2010-10-22,2010-10-22,1
a.298,2010-10-22,2010-10-22,1
b.295,2010-10-23,2010-10-23,1
b.297,2010-10-23,2010-10-23,1
b.298,2010-10-23,2010-10-23,1
K.298,2010-10-23,2010-10-30,2
8.298,2010-10-23,2010-12-04,7
S.298,2010-10-23,2010-12-04,7
c.295,2010-10-24,2010-10-24,1
c.297,2010-10-24,2010-10-24,1
c.298,2010-10-24,2010-10-24,1
k.298,2010-10-24,2010-10-31,2
U.298,2010-10-24,2010-11-28,6
p.299,2010-10-26,2010-12-02,22
7.299,2010-10-26,2010-12-03,28
A.299,2010-10-26,2010-12-03,28
e.299,2010-10-26,2010-12-03,22
E.299,2010-10-26,2010-12-03,17
W.299,2010-10-26,2010-12-03,28
P.298,2010-10-29,2010-12-03,6
P.299,2010-10-29,2010-12-03,6
H.298,2010-10-30,2010-10-30,1
H.299,2010-10-30,2010-10-30,1
K.299,2010-10-30,2010-10-30,1
M.298,2010-10-30,2010-10-30,1
M.299,2010-10-30,2010-10-30,1
8.299,2010-10-30,2010-12-04,6
S.299,2010-10-30,2010-12-04,6
h.298,2010-10-31,2010-10-31,1
h.299,2010-10-31,2010-10-31,1
