"ogc_fid","rte","dir","rte_desc","public_rte","dir_desc","frequent","type"
143,154,1,"Willamette/Clackamas Heights","154","To Clackamas Heights","False","BUS"
144,34,0,"Linwood/River Rd","34","To Oregon City Transit Center","False","BUS"
145,1,0,"Vermont","1","To Vermont & Shattuck and Maplewood","False","BUS"
146,62,1,"Murray Blvd","62","To Sunset Transit Center","False","BUS"
147,10,0,"Harold St","10","To Foster & 94th","False","BUS"
148,79,0,"Clackamas/Oregon City","79","To Oregon City Transit Center","False","BUS"
149,12,0,"Barbur/Sandy Blvd","12","To Tigard Transit Center","False","BUS"
150,290,1,"MAX Orange Line","","To Milwaukie","True","MAX"
151,58,0,"Canyon Rd","58","To Beaverton Transit Center","False","BUS"
152,190,1,"MAX Yellow Line","","To Portland City Center","False","MAX"
153,80,1,"Kane/Troutdale Rd","80","To Gresham Transit Center","False","BUS"
154,16,1,"Front Ave/St Helens Rd","16","To Portland","False","BUS"
155,152,0,"Milwaukie","152","To Clackamas Town Center","False","BUS"
156,72,1,"Killingsworth/82nd Ave","72","To Clackamas Town Center","True","BUS"
157,75,0,"Cesar Chavez/Lombard","75","To St Johns","False","BUS"
158,6,1,"Martin Luther King Jr Blvd","6","To Portland City Center","True","BUS"
159,8,0,"Jackson Park/NE 15th","8","To Marquam Hill","True","BUS"
160,11,1,"Rivergate/Marine Dr","11","To St Johns","False","BUS"
161,71,0,"60th Ave","71","To Clackamas Town Center","False","BUS"
162,156,1,"Mather Rd","156","To Clackamas Town Center","False","BUS"
163,21,0,"Sandy Blvd/223rd","21","To Parkrose/Sumner Transit Center","False","BUS"
164,97,0,"Tualatin-Sherwood Rd","97","To SW Langer Dr/Sherwood Plaza","False","BUS"
165,72,0,"Killingsworth/82nd Ave","72","To Swan Island","False","BUS"
166,75,1,"Cesar Chavez/Lombard","75","To Milwaukie","True","BUS"
167,190,0,"MAX Yellow Line","","To Expo Center","True","MAX"
168,67,1,"Bethany/158th","67","To Merlo Rd/158th Ave","False","BUS"
169,43,1,"Taylors Ferry Rd","43","To Portland","False","BUS"
170,93,0,"Tigard/Sherwood","93","To Sherwood","False","BUS"
171,29,0,"Lake/Webster Rd","29","To Clackamas Town Center","False","BUS"
172,87,1,"Airport Way/181st","87","To Gateway Transit Center","False","BUS"
173,54,0,"Beaverton-Hillsdale Hwy","54","To Beaverton Transit Center","True","BUS"
174,155,0,"Sunnyside","155","To 172nd","False","BUS"
175,38,0,"Boones Ferry Rd","38","To Tualatin Park & Ride","False","BUS"
176,74,0,"162nd Ave","74","To 158th & Airport Way","False","BUS"
177,291,0,"Orange Night Bus","291","To Milwaukie","True","BUS"
178,208,1,"Portland Aerial Tram","","To Marquam Hill","False","AT"
179,96,1,"Tualatin/I-5","96","To Portland City Center","False","BUS"
180,61,1,"Marquam Hill/Beaverton","61","To Marquam Hill","False","BUS"
181,84,0,"Powell Valley/Orient Dr","84","Evening Loop","False","BUS"
182,47,1,"Main/Evergreen","47","To PCC Rock Creek","False","BUS"
183,55,0,"Hamilton","55","To Raleigh Hills","False","BUS"
184,67,0,"Bethany/158th","67","To PCC Rock Creek","False","BUS"
185,64,0,"Marquam Hill/Tigard","64","To Tigard Transit Center","False","BUS"
186,70,0,"12th/NE 33rd Ave","70","To 33rd & Sunderland","False","BUS"
187,88,0,"Hart/198th","88","To Willow Creek/SW 185th Ave Transit Center","False","BUS"
188,155,1,"Sunnyside","155","To Clackamas Town Center","False","BUS"
189,68,0,"Marquam Hill/Collins Circle","68","To Collins Circle at 18th & Jefferson","False","BUS"
190,54,1,"Beaverton-Hillsdale Hwy","54","To Portland City Center","False","BUS"
191,96,0,"Tualatin/I-5","96","To Commerce Circle","False","BUS"
192,61,0,"Marquam Hill/Beaverton","61","To Beaverton Transit Center","False","BUS"
193,87,0,"Airport Way/181st","87","To Powell & 182nd","False","BUS"
194,70,1,"12th/NE 33rd Ave","70","To Milwaukie","False","BUS"
195,291,0,"Orange Night Bus","291","To Milwaukie","False","BUS"
196,45,1,"Garden Home","45","To Portland City Center","False","BUS"
197,11,0,"Rivergate/Marine Dr","11","To Vancouver Way & Middlefield","False","BUS"
