"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
62,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4150,4467,"Portland Ave & W Fairfield","Gladstone","97027","False"
63,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4200,4462,"Portland Ave & W Dartmouth","Gladstone","97027","False"
64,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4250,4456,"Portland Ave & W Arlington","Gladstone","97027","False"
65,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4300,126,"W Arlington & Bellevue","Gladstone","97027","False"
66,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4350,124,"W Arlington & Beatrice","Gladstone","97027","False"
67,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4400,122,"W Arlington & Barton","Gladstone","97027","False"
68,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4450,135,"W Arlington & McLoughlin","Gladstone","97027","False"
69,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4500,3831,"McLoughlin & Clackamette Dr","Oregon City","97045","False"
70,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4600,10447,"Oregon City Transit Center","Oregon City","97045","False"
71,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2250,7136,"SE 21st & Washington","Milwaukie","97222","False"
72,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",217,13873,"8000 Block SE Monterey","Clackamas Co.","97086","False"
73,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",284,13874,"SE Monterey & Fuller","Clackamas Co.","97222","False"
74,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",475,13983,"SE Harmony & Fuller","Clackamas Co.","97222","False"
75,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",550,13984,"SE Harmony & Cedarcrest","Milwaukie","97222","False"
76,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1150,13805,"4900 Block SE Johnson Creek","Milwaukie","97222","False"
77,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1400,3081,"SE Johnson Creek & 32nd","Portland","97202","False"
78,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2800,3672,"SE Main & Scott","Milwaukie","97222","False"
79,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2850,12462,"10200 Block SE Main","Milwaukie","97222","False"
80,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2900,3657,"SE Main & Milport","Milwaukie","97222","False"
81,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2950,3658,"SE Main & Mailwell","Milwaukie","97222","False"
82,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3000,3652,"SE Main & Beta","Milwaukie","97222","False"
83,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3050,3797,"SE Ochoco & McLoughlin","Milwaukie","97222","False"
84,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3100,13771,"SE Tacoma Park & Ride","Portland","97202","False"
85,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3200,3083,"SE Johnson Creek & 36th","Portland","97222","False"
86,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3300,3086,"SE Johnson Creek & 42nd","Milwaukie","97222","False"
87,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3350,3077,"SE Johnson Creek & Brookside","Milwaukie","97222","False"
88,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3400,3079,"SE Johnson Creek & Springwater Corridor","Portland","97202","False"
89,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3500,13790,"SE Johnson Creek & Stanley","Milwaukie","97206","False"
90,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3550,13788,"SE Johnson Creek & Wichita","Milwaukie","97206","False"
91,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3600,13786,"9700 Block SE Linwood","Clackamas Co.","97222","False"
92,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3650,13784,"SE Linwood & King","Clackamas Co.","97222","False"
93,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",550,10447,"Oregon City Transit Center","Oregon City","97045","False"
94,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",600,3842,"McLoughlin & Oregon City Shopping Center","Oregon City","97045","False"
95,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",650,121,"W Arlington & Barton","Gladstone","97027","False"
96,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",700,123,"W Arlington & Beatrice","Gladstone","97027","False"
97,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",750,125,"W Arlington & Bellevue","Gladstone","97027","False"
98,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",800,136,"W Arlington & Portland Ave","Gladstone","97027","False"
99,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",850,4463,"Portland Ave & E Dartmouth","Gladstone","97027","False"
100,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",900,4468,"Portland Ave & E Fairfield","Gladstone","97027","False"
101,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",950,4472,"Portland Ave & E Hereford","Gladstone","97027","False"
102,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1000,16,"Abernethy & Portland Ave","Gladstone","97027","False"
103,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1050,12,"Abernethy & Center","Gladstone","97027","False"
104,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1100,9,"Abernethy & Barclay","Gladstone","97027","False"
105,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1150,13,"Abernethy & Duniway","Gladstone","97027","False"
106,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1200,1994,"Glen Echo & Mildred","Gladstone","97027","False"
107,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1250,4835,"SE River Rd & Britton","Clackamas Co.","97267","False"
108,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1300,4860,"SE River Rd & Meldrum","Clackamas Co.","97267","False"
109,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1350,4870,"SE River Rd & River Dr","Clackamas Co.","97267","False"
110,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1400,4849,"SE River Rd & Hull Ave","Clackamas Co.","97267","False"
111,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1450,4851,"SE River Rd & Jennings","Clackamas Co.","97267","False"
112,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1500,4833,"SE River Rd & Boardman","Clackamas Co.","97267","False"
113,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1550,4881,"SE River Rd & Rogers","Clackamas Co.","97267","False"
114,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1600,4879,"SE River Rd & Roethe","Clackamas Co.","97267","False"
115,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1650,4864,"SE River Rd & Naef","Clackamas Co.","97267","False"
116,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1700,4844,"SE River Rd & Laurelwood","Clackamas Co.","97267","False"
117,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1750,4878,"SE River Rd & Cooke","Clackamas Co.","97267","False"
118,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1800,4862,"SE River Rd & Mulberry","Clackamas Co.","97267","False"
119,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1850,4853,"SE River Rd & Juniper Dr","Clackamas Co.","97267","False"
120,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1900,4837,"SE River Rd & Concord","Clackamas Co.","97267","False"
121,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",1950,4888,"SE River Rd & Swain","Clackamas Co.","97267","False"
122,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2000,4875,"SE River Rd & River Glen Ct","Clackamas Co.","97267","False"
