HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
PACIFIC,001,00,1,0,0,294.03,MILEPOST 294.00,294.00,000100100S00,00100D00,45.4452801,-122.7362387,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,295.02,MILEPOST 295.00,295.00,000100100S00,00100D00,45.4536487,-122.7216436,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,11.95,MILEPOST 12.00,12.00,029100100S00,29100I00,44.9032688,-120.6514361,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,12.94,MILEPOST 13.00,13.00,029100100S00,29100I00,44.897254,-120.6363479,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,13.92,MILEPOST 14.00,14.00,029100100S00,29100I00,44.9037229,-120.6217235,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,14.92,MILEPOST 15.00,15.00,029100100S00,29100I00,44.9029237,-120.6026245,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,15.91,MILEPOST 16.00,16.00,029100100S00,29100I00,44.9052315,-120.5849442,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,16.96,MILEPOST 17.00,17.00,029100100S00,29100I00,44.903521,-120.5704686,3,NAD 83,2014,07/14/2015
SHANIKO-FOSSIL,291,00,1,0,0,8,MILEPOST 8.00,8.00,029100100S00,29100I00,44.9083054,-120.7203435,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,21.98,MILEPOST 22.00,22.00,013800100S00,13800I00,43.3336792,-123.0095364,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,20.98,MILEPOST 21.00,21.00,013800100S00,13800I00,43.3242916,-123.0231642,3,NAD 83,2014,07/14/2015
JOHN DAY,005,00,1,0,0,193.98,MILEPOST 194.00,194.00,000500100S00,00500I00,44.5802326,-118.4386127,3,NAD 83,2014,07/14/2015
JOHN DAY,005,00,1,0,0,195,MILEPOST 195.00,195.00,000500100S00,00500I00,44.5793783,-118.419687,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,296,MILEPOST 296.00,296.00,000100100S00,00100D00,45.4604921,-122.7046401,3,NAD 83,2014,07/14/2015
